order_id,customer_id,order_amount,order_timestamp
75333-1,75333,150.81,2020-12-18 20:27:57
75333-2,75333,68.61,2023-06-27 17:21:42
75333-3,75333,183.25,2020-07-24 20:14:20
75333-4,75333,96.01,2021-12-24 01:11:43
75333-5,75333,184.59,2022-07-29 20:52:52
75333-6,75333,62.67,2020-01-28 20:31:48
75333-7,75333,55.34,2021-12-15 20:18:29
75333-8,75333,63.65,2023-11-24 02:18:44
75333-9,75333,125.19,2020-08-17 18:00:47
75333-10,75333,129.76,2023-05-12 00:27:26
48695-1,48695,49.78,2023-12-16 17:41:55
48695-2,48695,76.32,2022-08-12 19:41:35
48695-3,48695,56.11,2022-04-15 17:34:54
48695-4,48695,108.6,2021-04-02 20:02:46
48695-5,48695,72.27,2022-09-14 00:05:49
48695-6,48695,89.66,2020-02-24 20:17:11
48695-7,48695,108.68,2021-02-09 09:09:08
48695-8,48695,115.53,2022-07-11 18:43:17
48695-9,48695,89.11,2022-02-11 11:43:44
48695-10,48695,45.93,2022-05-22 16:51:23
83997-1,83997,143.63,2023-07-09 19:31:07
83997-2,83997,118.22,2020-09-09 05:36:44
83997-3,83997,54.33,2022-01-29 16:53:27
83997-4,83997,95.52,2022-10-14 16:32:20
83997-5,83997,34.63,2023-09-29 01:06:34
83997-6,83997,72.47,2021-04-29 17:42:12
83997-7,83997,92.47,2020-04-11 19:13:30
83997-8,83997,94.73,2020-06-27 19:22:25
83997-9,83997,32.66,2021-08-31 18:39:28
83997-10,83997,76.42,2021-11-18 19:35:41
29600-1,29600,147.14,2023-11-24 18:57:10
29600-2,29600,55.91,2020-06-18 16:59:01
29600-3,29600,128.32,2023-08-31 16:09:15
29600-4,29600,151.95,2021-07-22 18:16:54
29600-5,29600,97.6,2023-02-08 18:57:28
29600-6,29600,182.91,2022-06-05 22:02:58
29600-7,29600,56.71,2021-06-03 13:15:07
29600-8,29600,91.45,2020-01-17 16:04:12
29600-9,29600,138.24,2021-09-21 15:47:33
29600-10,29600,61.11,2020-10-19 18:25:00
25162-1,25162,145.75,2023-04-19 16:02:06
25162-2,25162,89.41,2021-02-04 18:59:02
25162-3,25162,168.51,2020-05-06 18:11:19
25162-4,25162,94.73,2022-03-11 18:00:29
25162-5,25162,96.45,2023-09-06 18:53:06
25162-6,25162,164.96,2021-09-20 16:12:12
25162-7,25162,171.92,2020-01-25 16:20:20
25162-8,25162,129.62,2021-03-07 12:54:27
25162-9,25162,150.42,2021-07-28 20:09:50
25162-10,25162,195.46,2020-05-16 20:35:43
92710-1,92710,35.1,2022-10-17 13:47:02
92710-2,92710,41.25,2020-01-08 20:05:07
92710-3,92710,93.01,2023-03-24 16:00:36
92710-4,92710,40.73,2023-01-26 19:53:20
